head,relation,tail,noise
that is a bad policy,said in,08-10-2004,0
we have community-based organizations,said in,05-10-1988,0
faced with the possibility that terrorists could smuggle a deadly biological agent or a nuclear weapon into the middle of one of our own cities,is a,premise,0
"the charter of the united nations - its preamble, article i and article ii - also provide that there shall be no intervention by one nation in the internal affairs of another",said in,21-10-1960,0
"it has been an abject failure, this administration's policy",is a,premise,0
"let me tell you what your plan is. it's not social security plus, it's social security plus huge debt",support,my plan is social security plus,0
"i think we need to have an attorney general that says if a law is broken, we'll enforce it",support,be strict and firm about it,0
which is precisely what we're doing,is a,claim,0
have a 3rd task force on new industries of the future,is a,premise,0
it won't work,support,does every woman in america have to present herself before some judge picked by jerry falwell to clear her personal judgment?,0
"we consider this problem of unemployment, we have to realize where it is",is a,claim,0
the secretary of defense said yesterday that he knows of no hard evidence of the connection,support,the cia is now about to report that the connection between al qaida and saddam hussein is tenuous at best,0
i've already taken the pledge on cutting the deficit in half,is a,claim,0
i would like to appoint people who would be interested in helping with that,said in,22-10-1976,0
i think it's very commendable the work she's done on behalf of special needs,said in,15-10-2008,0
we've graduated 15 million kids from high school in the last few years who can't read at a significant level,said in,05-10-2000,0
"someone who will not veto a bill that has an investment tax credit, middle class tax relief, research and development tax credits as mr. bush has done",said in,11-10-1992,0
"since 1969, during a republican administrations, we have had ten million people taken off of the tax rolls at the lower end of the taxpayer area",said in,23-09-1976,0
"when we say we're somebody's friend, everybody has got to believe it",support,"it requires a clear vision, a willingness to stand by our friends, and the credibility for people both friend and foe to understand when america says something",0
your own secretary of state has said it,is a,claim,0
"i do want to just point out that autism, for example, or other special needs will require some additional funding",is a,premise,0
somewhere in between those numbers,said in,08-10-2004,0
i don't have a one of them,said in,19-10-1992,0
there is very little difference in the budget that i proposed and the republican budget over the next six-year period,said in,06-10-1996,0
i signed the partial-birth -- the ban on partial-birth abortion,is a,claim,0
it's fair,support,"they deserve the tax breaks, not the super wealthy who are doing pretty well",0
i figured out from day one i had to get along and i had to work across the aisle to get anything done,is a,claim,0
it's working well right now,said in,11-10-2012,0
i think it was a terrible thing to say,is a,premise,0
this is the way we're going to create jobs in this country,is a,claim,0
on top of the extension of the bush tax cuts -- that's another trillion dollars,support,$2 trillion in additional military spending that the military hasn't asked for,0
the math doesn't work,said in,22-10-2012,0
john kerry and i are asking you to give us the power to fight for you,said in,05-10-2004,0
we passed an anti-crime bill that has 60 new death penalty provisions,is a,claim,0
i do think that a lot of the tone and tenor that he has said—i’m proud of the campaign that bernie sanders and i ran,support,"we ran a campaign based on issues, not insults",0
i'm not going to do that,said in,25-09-1988,0
"yes, i think it's fine to do business with them",said in,25-09-1988,0
i want to reassure our allies in japan and south korea and elsewhere that we have mutual defense treaties and we will honor them,is a,claim,0
we didn't have a difference on whether or not we were going to be funding troops,is a,premise,0
i think if you talk to anybody,said in,13-10-2004,0
"in his years in the house and senate, he formed similar bipartisan partnerships",is a,claim,0
we haven't been trigger-happy,is a,claim,0
it's the same law - it's the same law - that lets you invite high priced lobbyists down to williamsburg,is a,premise,0
"it's not good for our military, to run them down essentially in the midst of a partisan political debate",is a,claim,0
"it happened in tennessee, in decaturville, tennessee",said in,13-10-1992,0
"we can store and reprocess spent nuclear fuel, senator obama, no problem",is a,premise,0
that is the current campaign financing system,said in,17-10-2000,0
"i have a plan that will take the catastrophic cases out of the system, off your backs",is a,claim,0
and we were succeeding,support,i don't agree to all of those things,0
we need earmark reform,support,"when i'm president, i will go line by line to make sure that we are not spending money unwisely",0
senator obama said that would be provocative,said in,26-09-2008,0
i know what many of them say today,said in,30-09-2004,0
"if they did have coverage, insurance companies might impose an arbitrary limit",is a,premise,0
we're going to do a lot of things for college tuition,said in,19-10-2016,0
we need justice,support,it’s called make america great again,0
our position happened to be at the airport,support,and we were succeeding,0
you don't go through the u.n,is a,claim,0
we've been out-negotiated for quite a long time,support,i have been critical of some of the previous agreements,0
i believe part of a hopeful society is one in which somebody owns something,said in,13-10-2004,0
that was the slot that the obamacare approach was to take,is a,premise,0
i think i have the best plan of the 3 of us up here to do something about it,support,i'll win,0
"what we have to do, and this is the crux of the matter, is to make it very, very uh - difficult for a person who uses a gun in the commission of a crime to stay out of jail",equivalent,"the only way to do it is to pass strong legislation so that once apprehended, indicted, convicted, they'll be in jail and off the streets and not using guns in the commission of a crime",0
we have too much violence,said in,11-10-1992,0
"it seems to me that we ought to take that money we can save from the department of education, put it into opportunity scholarships",is a,claim,0
small businesses and some large businesses just can't get loans,is a,premise,0
"i have met with those people, and i met with them in fort wayne, indiana, at a food bank",said in,05-10-1988,0
there were things added in in the house side that we felt made it less of a good bill,said in,21-10-1984,0
"i do believe that no one in this country should be denied the right to express themselves, or to even try to persuade others to follow their leader",is a,premise,0
are we going to lead the world with strength and in accordance with our values? that's what i intend to do,said in,26-09-2016,0
"we, of course, don't want to have automatic weapons",is a,premise,0
it has also the benefit of allowing citizens to participate in the process,said in,13-10-2004,0
utility prices up,support,middle-income taxpayers have been buried over the past four years,0
we didn't think that was right,is a,claim,0
"if you made less than $10,000 with all the budget cuts that came down the line, you suffered a loss of $400",said in,11-10-1984,0
i’ve stood up to russia,said in,09-10-2016,0
it gets to the base of the kind of jobs we need,support,i've put ours together in something called the agenda for american renewal,0
"it's gone up by $2,500 a year",is a,premise,0
i'd like to know what that means,support,"are we going to take proper precautions before we put americans in situations where they're in danger, or are we just going to walk away, throwing our arms in the air now",0
"his emissary, i think, came home in 12 hours having heard a very definite nyet",support,the soviet union sat at the table knowing that we had gone forward with unilateral concessions without any reciprocation from them whatsoever,0
the vice president in his campaign has said that you were naive and at times immature,said in,26-09-1960,0
some that didn't even feel the pain of the recession,support,there were some parts of the country that were worse off,0
"so that if inflation rises, the social security payments would rise a commensurate degree to let the buying power of a social security check continue intact",is a,claim,0
"i talked to a man just briefly there who asked me one simple question: ""do i have reason to hope that i can someday take care of my family again",is a,claim,0
we need to give our democracy back to the american people,is a,premise,0
the people pay it,said in,13-10-1960,0
i’m not making any excuses,support,i take responsibility for using a personal e-mail account,0
we're not going to have a draft,is a,premise,0
mr. bush's prescription for our economic future is another tax giveaway to the rich,support,i don't think we can be satisfied,0
energy we have to deal with today,support,we're going to have to prioritize,0
it's all happening in this administration,is a,premise,0
we are back,is a,claim,0
that people through their elected representatives in reaching a consensus in society through the democratic process should make this determination,said in,11-10-2012,0
he also wants to continue the bush tax cuts for the wealthiest americans,is a,premise,0
including closing the loophole that allows companies to use a subsidiary,said in,05-10-2004,0
it's the only reason to be for it,is a,claim,0
"in the case of mr. nixon, the reason the - the pardon was given, was that, when i took office this country was in a very, very divided condition",is a,claim,0
you need a more expensive procedure,said in,16-10-1996,0
"this administration has cut and slashed and cut and slashed programs for children, for nutrition, for the kinds of things that can help these youngsters to live better lives",support,i must have been living through a different eight years then the ones the vice president's been living through,0
the vast majority of the world's scientists -- and they have worked on this extensively -- believe that we must have an effort to face up to the problems we face with the environment,is a,premise,0
limited government can work in the second largest state in the union,said in,11-10-2000,0
"when it comes to this issue, when i say that we are going to find out exactly what happened, everybody will be held accountable",said in,16-10-2012,0
to use the power of the united states to aggressively go after the terrorists wherever we find them and also to hold to account states that sponsor terror,support,the only viable option for winning the war on terrorism is the one the president has chosen,0
but are the american people?,attack,i guess some may be better off,0
they seem to be simply retreads of the programs of the truman administration which preceded it,support,they do not seem to be new,0
i would never give up complete control or practical control of the panama canal zone,is a,claim,0
spending money without a strategic plan can oftentimes be wasted,attack,spending money is one thing,0
