relation	head	tail
__label__Support	I accept what the president has said	the president and his experts have told America that it's not a question of if; it's a question of when
__label__Support	He just -- he said, let it go bankrupt, period	I know he had no commitment to the automobile industry
__label__Support	He has voted against -- he voted including another 3.6 million children in coverage of the existing health care plan, when he voted in the United States Senate	He's been a maverick on some issues, but he has been no maverick on the things that matter to people's lives
__label__Support	Mine are words, and his was action	If you look at Bill Clinton, far worse
__label__Support	he’s trying to conf–to scare people into thinking that it’s not going to be legitimate.	this is all about trying to dissuade people from voting
__label__Support	Right now the president is spending hundreds of millions of dollars to research bunker-busting nuclear weapons	It doesn't make sense
__label__Support	We would have to close twenty military bases in the United States immediately	That's the kind of defense program that uh - Mr. Carter wants
__label__Support	a Pakistan that falls apart, becomes a failed state, would be of extraordinary danger to Afghanistan and to us	we're going to have to remain helpful in encouraging Pakistan to move towards a more stable government and rebuild the relationship with u
__label__Support	nevertheless, they're out there	You got a lot of women running for office
__label__Support	I think it was the right thing not to jump in, as heartbreaking as it was	I think the administration did the right thing in that case
__label__Support	I want it to be streamlined	I want our legal system to work better
__label__Support	last week when we were trying to get the Export Administration Act through the Congress - necessary legislation - my administration went to Capitol Hill and tried to convince the House and the Senate that we should have an amendment on that legislation which would take strong and effective action against those who uh - participate or cooperate with the Arab uh boycott	Again Governor Carter is inaccurate
__label__Attack	I believe that is the way you get the deficit down	not by the tax-and-spend program that we hear every 4 years, whether it's Mondale, Dukakis, whoever else it is
__label__Support	All the president needs to sustain his veto of any bill is one-third plus one in either the House or the Senate.	it's extremely difficult with the great power that the president does to pass any bill when the president is opposed to it.
__label__Support	what we don't want to do is give our allies reason to trust us less and our enemies more	what any administration will do in 2013 is assess the situation to see how best to complete this timeline
__label__Support	He didn't demagogue them	Mitt Romney was governor of Massachusetts, where 87 percent of the legislators he served, which were Democrats
__label__Support	you need a more expensive procedure	I believe that doctors should not be able to be kicked out of managed care plans just because they tell the patients what they need
__label__Support	if you're 60 or around 60 or older, you don't need to listen any further	neither the president nor I are proposing any changes for any current retirees or near retirees, either to Social Security or Medicare
__label__Attack	there isn't a better way of dealing with the preexisting conditions problem	when Governor Romney says that he'll replace it with something, but can't detail how it will be in fact replaced
__label__Support	The facts are you now have a government that comes at you	You're supposed to have a government that comes from you
__label__Support	The Congress is doing a better job of it	we are doing a better job of it
__label__Support	It's warm, or it's not	The calendar works the same every year
__label__Support	I think their record on the environment is inexcusable and often shameful	I think our future requires a President to lead us in an all-out search to advance our education, our learning, and our science and training
__label__Support	I was in New Hampshire	A woman came to me and she said, look, I can't afford insurance for myself or my son
__label__Attack	if we just rip it up and throw it away, what Donald’s not telling you is we just turn it back to the insurance companies the way it used to be, and that means the insurance companies get to do pretty much whatever they want, including saying, look, I’m sorry, you’ve got diabetes, you had cancer, your child has asthma you may not be able to have insurance	And like I say, 20 million people now have health insurance
__label__Support	For 40 years, everyone running for president has released their tax returns	I think you've just seen another example of bait-and- switch here
__label__Support	You've had your chance and it didn't work	It's time to change
__label__Attack	the president has the integrity and the character	Bill Clinton does not have the strength nor the character to be president of the US
__label__Attack	incentives for investment in the inner city area, and, yes, enterprise zones	Vice President Quayle said they're important, but George Bush eliminated them from his urban plan
__label__Attack	what we need here are not just high hopes	Senator Kennedy has expressed some hopes in this field, hopes which I think all Americans would share who want some problem - some progress in this area
__label__Support	There's even an Apple store in China that's a counterfeit Apple store, selling counterfeit goods	China's been cheating over the years
__label__Support	he didn't put in what he promised	The president reneged on his promise to fund No Child Left Behind
__label__Equivalent	This is major, major progress	they're making significant progress
__label__Support	Last year 35 % of our exports went to developing countries, countries where the population is expanding worldwide by as much as one billion people every ten years	We cannot stick our heads in the sand and pretend that we don't face a global environmental crisis
__label__Support	If you throw another 50,000 kids on the street because of cutting recklessly in troop levels, you're going to put a lot more out of work	When you cut back on defense spending, some people are going to be thrown out of work
__label__Support	I know how the do that	it's my proposal
__label__Support	after a decade in which we saw drift, jobs being shipped overseas, nobody championing American workers and American businesses, we've now begun to make some real progress	we have to move forward and not go back
__label__Support	We find that the Soviet Union is a very primitive economy	Its growth rate is not what counts
__label__Support	I pay tax	I pay federal tax, too
__label__Support	Several government departments -- several -- had information that he was converting our aid to military purposes and trying to develop weapons of mass destruction	In 1988 when the war between Iraq and Iran ended, we knew Saddam Hussein was a tyrant, we had dealt with him because he was against Iran
__label__Support	The 9/11 Commission has said it	There is not
__label__Support	I think we've got to be very careful when we commit our troops	I believe the role of the military is to fight and win war and therefore prevent war from happening in the first place
__label__Support	because of our relations in NATO	I thought it was in our strategic interests to keep Milosevic in check
__label__Support	we have programs which we believe will move America,	I think that the means that I advocate will reach that goal better than the means that he advocates.
__label__Support	how are we going to do that	to change the culture of violence that we have
__label__Support	I've touched more people's lives and seen more heartbreak and hope, more pain and more promise, than anybody else who's run for president this year	I think the American people deserve better than they're getting
__label__Support	What if we did -- and I hope we can; we're still researching -- what if we come up with a weapon that renders those missiles obsolete	I think that would be the greatest use of a defensive weapon
__label__Equivalent	I believe that we should consult with them and attempt to work out a plan by which the line is drawn at the island of Formosa	It is a decision finally that the Nationalists should make
