head,relation,tail
america must be able to grow enough not only to take care of our needs at home for better education and housing and health - all these things we want,support,that isn't good enough
it's the people listening to this broadcast,support,"hen you do well, america does well"
what he's quoting is not the senate budget commiitte,attack,he'll either have to raise your taxes by $900 billion or go into the social security surplus for $900 billion
this is exactly the kind of track record we've seen over the years,support,we have to deal with zarqawi by taking him out
it's time to change,support,i want to bring that change to the american people
they've been abused and used in order to get votes by democrat politicians,support,the community within the inner cities has been so badly treated
this is all about trying to dissuade people from voting,support,he’s trying to conf–to scare people into thinking that it’s not going to be legitimate
"i think when i think of heroes, i think back, not presently",attack,there are many people who i admire in this country today
i noticed recently that governor reagan frequently quotes democratic presidents in his acceptance address,support,"it is good fo the american people to remember that there is a sharp basic historical difference between governor reagan and me on these crucial issues - also, between the two parties that we represent"
we've seen in the nicaraguan example a policy that has actually hurt us,support,"strength requires knowledge, command"
he is only encouraging the aggressors - the chinese communist and the soviet aggressors - to press the united states,support,we're not going to have peace by giving in and indicating in advance that we are not going to defend what has become a symbol of freedom
this administration and this country last year had the lowest rate of economic growth - which means jobs - of any major industrialized society in the world in 1959,support,"when we have to find twenty-five thousand new jobs a week for the next ten years, we're going to have to grow more"
they want more assistance,support,"in my first budget, we would put money into that budget to help us deal with implicit bias by retraining a lot of our police officers"
it's a culture that somewhere along the line we've begun to disrespect life,support,it's really a matter of culture
it doesn't mean that you - the government doesn't have to put out the money this year,support,he has to unbalance the budget
"it went before a judge, who was a very against-police judge",support,"no, you're wrong"
i think the american taxpayer ought to get an additional tax break - a tax reduction of that magnitude,support,i don't think we should add additional programs of the magnitude that governor carter talks about
the reason it’s shut down is,support,you folks at home
undermined the moral authority of our people and our country in the region,support,i object to the covert action in nicaragua
"i've never suggested we should uh - be able to retire the debt substantially, or even at all in nineteen sixty-one or two",support,"i think you have heavy obligations which affect our security,"
mentioned other parties,support,they have their differences
she’s going to be as good as anybody that has served on that court,support,we really feel that
american people see this debt,support,they know it's got to come down
"they opposed the creation of a department of homeland security, and then they were for it",support,this administration opposed the creation of a 9/11 commission to find out why it happened and what we needed to do
there are eight democrats on that committee and four republicans,support,it is very difficult to blame the four republicans for the eight democrats' not getting a something through that particular committee
we finally need to pass a prohibition on anyone who's on the terrorist watch list from being able to buy a gun in our country,support,i believe strongly that commonsense gun safety measures would assist us
"bill clinton understands the meaning of the words ""teamwork"" and ""partnership.""",support,the teamwork and partnership beforehand -- and hopefully that situation never happens -- how you work together is critically important
"under both president nixon and ford, monies have been impounded that would've gone to uh - cities and others to control uh - water pollution",support,i would do the opposite in every respect
"what i would do first and foremost, is i would get in touch with the federal reserve chairman, alan greenspan, to find out all the facts and all the circumstances",support,i would come up with a game plan to deal with it
made progress that had been stalled on both the subic and the clark airfield bases,support,in no area do we disagree more than this administration's policies on human rights
"i said if you want a trigger lock to make your gun safe, come and get one for free",support,i support that
"more than that, to do the kind of job that i'm elected to do, will do it with as much good humor as i can, but at the same time will do it in a way which will achieve the goals we want for ourselves and our people",support,"i think we know what they are: a good strong future, a future in which there is opportunity for all of our citizens"
he then did nothing,support,he still doesn’t have a plan
we need tax relief for americans so that jobs can be created here,attack,barack obama and senator biden also voted for the largest tax increases in u.s. history
you could never have done the job that we did,attack,i know how to do the job
"you are very selective, mr. president",attack,i don't think this issue should be politicized
"long ago, i warned about vladimir putin",support,"have no doubt that russia's behavior is certainly outside the norms of behavior that we would expect for nations which are very wealthy, as russia has become"
let's focus on jobs,support,i've proposed four specific things that i think can help
we created an environment for the entrepreneurial spirit to be strong,support,minority ownership of businesses are up
we simply cannot continue with this philosophy of giving huge tax cuts to the very wealthy,support,raising taxes on middle income families the way bush and quayle have done
we need to keep guns out of the hands of those who will do harm,support,"in a lot of places, our police are outgunned"
"to this day, not one of its decisions or rulings has ever been challenged",support,i think some of those charges are missing the point
"it's just predicated on very modest, but i think accurate, projections of employment increases and uh - a growth in our national economy equal to what was experienced under kennedy, johnson, before the vietnam war",support,i believe they're reasonable goals
i think that pattern is a dangerous thing to suggest would work for the oval office,support,it doesn't work that way when you're president
i welcome this opportunity to join senator kennedy completely on that statement,support,i disapprove of the issue
"i've touched more people's lives and seen more heartbreak and hope, more pain and more promise, than anybody else who's run for president this year",support,i think the american people deserve better than they're getting
he has not done healthcare,attack,i’ll give you an example
we're setting aside $300 billion in a reserve fund in case the projections the nonpartisan experts make aren't quite right,support,i'm going to explain tonight how we're going to do all this and remain fiscally responsible
the invasion of afghanistan didn't take place on our watch,support,i don't think that our record of human rights can be assailed
"95 percent of the small businesses in america, their owners make less than $250,000 a year",support,"they would not get one single solitary penny increase in taxes, those small businesses"
"if you want to cut the cost of campaigns, you have to open the airways",support,"for every one of you who stood up here and asked a question tonight, i promise you there's a 100,000 americans who said i wish i could have asked that question"
if you vote one way you will have an expansion of family leave,support,i think what we have to do is convince people there is a big difference
"if we could get agreement on that, maybe they could pass that in the final days of this congress",support,"i cast the tie-breaking vote to close it, but then the majority in the house of representatives went the other way"
that was one of the problems that helped to create the circumstances in vietnam,support,the united states must not spread itself too thinly
democrats and republicans said bob dole's word is good,support,i keep my word
we are doing phenomenally,support,if you look at our numbers right now
he has a long record of engaging in racist behavior,attack,"i think that i've developed very, very good relationships over the last little while with the african-american community"
the only conditions under which i would unbalance the budget would be if there was a grave national emergency or a serious recession,support,i believe in the balanced budget
john kerry has consistently supported the very men that he served with in vietnam and led,support,"for our troops, we must have a plan to win the peace"
this is a invasion of drugs from all over the world,support,we have a responsibility
"we've got an extraordinarily high unemployment rate among downtown urban ghetto areas, uh - particularly among the very poor and particularly among minority groups, sometimes 50 or 60 percent",support,the major - uh thrust has gotta be to put people back to work
i am disappointed that secretary paulson and others have not made that their first priority,support,we ought to put the homeowners first
"it puts a hair-trigger, and it is a dangerous, destabilizing weapon",support,it'll draw an attack
the senate budget committee did a study of the vice president's expenditures,support,it's been projected that they could conceivably bust the budget by $900 billion
we have not maintained our strength with sufficient vigor in the last years,support,"i believe that before we meet that crisis, that the next president of the united states should send a message to congress asking for a revitalization of our military strength"
that's not wishy- washy,support,that's not wishy-washy
"the united nations, which is responsible for the elections in january, has about 35 people there",support,"you need more than 35 people to hold an election in cleveland, much less in iraq"
"it wouldn’t be 200, it would be two million people",support,you were very late on the draw
working together to give each other the tools we need to make the most of our god-given potential,support,would we be better off as i believe
we had to go in when they came in,support,it didn't mean that
i'm very happy that john kennedy was elected,support,i'll be proud of supporting him all of my life
"we had a 1.2 million bankruptcy, set a new record",support,that's not true
if you don't want to really do that,support,i'm not your man
i'm going to institute zero-based budgeting,support,we will have a balanced budget by fiscal year 1981
when people vote,support,i think you're going to see a very strong verdict by the american people that they favor the approach that i'm talking about
"i like to remember what michelle obama said in her amazing speech at our democratic national convention: when they go low, we go high",support,"and barack obama went high, despite donald trump's best efforts to bring him down"
he’s got a mask,support,every time you see him
they will under my proposal,attack,it’s not what your party is saying
"we're not spending any more than is projected by the experts, unlike our opponents",support,i'm going to explain tonight how we're going to do all this and remain fiscally responsible
senator johnson was among those who rejected that position - voted with the seventy against the twelve,support,the senate was right
"there were some problems, some unintended consequences",support,we've got to address the systemic racism in our criminal justice system
jonas salk who for example discovered a vaccine which cured one of the most dread diseases we ever had,support,i can think of doctors and scientists
"the facts are the vice president's company that he was ceo of, that did business with sworn enemies of the united states, paid millions of dollars in fines for providing false financial information, is under investigation for bribing foreign officials",support,the same company that got a $7.5 billion no-bid contract
the president signed well after midnight one morning in the dark of night,support,i'm opposed to same-sex marriages
we won't wait 4 years before we concentrate on the problems in this country,attack,"mr. baker, who's quite a capable man, said that for these last 4 years george bush was working on the problems of the rest of the world and in the next 4 years he would target america"
i strongly supported the motor voter law,support,i think it's important to make voting more accessible
and get this economy growing,support,we're going to limp into the next century
